id,url,title,cena_mies,lokalizacja_raw,ulica,dzielnica,lat,lon,geo_status,parse_quality,geo_variant_used
ID4sBrX,https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-krakow-salwator-48-m2-ID4sBrX,mieszkanie do wynajęcia Kraków Salwator 48 m2,2900,"ul. Bolesława Komorowskiego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",ul. Bolesława Komorowskiego,Zwierzyniec,50.0538976,19.9203697,success,strict,structured_Bolesława Komorowskiego
ID4vxy2,https://www.otodom.pl/pl/oferta/nowe-budownictwo-cisza-laka-ogrod-100m2-klima-garaz-miejsce-postojowe-ID4vxy2,Nowe budownictwo/cisza/łąka/ogród 100m2/klima/garaż+miejsce postojowe,5500,"Tonie, Prądnik Biały, Kraków, małopolskie",,Czyżyny,50.0852790,19.9906243,success,none,structured_małopolskie
ID4xEGp,https://www.otodom.pl/pl/oferta/mieszkanie-41-60-m-krakow-ID4xEGp,"Mieszkanie, 41,60 m², Kraków",2900,"ul. Marii Dąbrowskiej, Bieńczyce, Bieńczyce, Kraków, małopolskie",ul. Marii Dąbrowskiej,Czyżyny,50.0740650,20.0121616,success,strict,structured_Marii Dąbrowskiej
ID4xDwj,https://www.otodom.pl/pl/oferta/nowe-ekskluzywne-mieszkanie-wykonczone-w-wysokim-standardzie-w-centrum-ID4xDwj,"Nowe,ekskluzywne mieszkanie wykonczone w wysokim standardzie w centrum",4500,"ul. Kujawska, Nowa Wieś, Krowodrza, Kraków, małopolskie",ul. Kujawska,Krowodrza,50.0727808,19.9227744,success,strict,structured_Kujawska
ID4xM5h,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pokoje-ul-bunscha-ID4xM5h,Bez prowizji - 2 pokoje - ul. Bunscha,2970,"Skotniki, Dębniki, Kraków, małopolskie",Skotniki,Dębniki,50.0021014,19.8672569,success,fallback,structured_Skotniki
ID4xM4K,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pokoje-ul-bunscha-ID4xM4K,Bez prowizji - 2 pokoje - ul. Bunscha,3180,"Ruczaj, Dębniki, Kraków, małopolskie",,Czyżyny,50.0852790,19.9906243,success,none,structured_małopolskie
ID4xLhr,https://www.otodom.pl/pl/oferta/4-pokojowe-taras-klimatyzacja-blisko-galerii-krakowskiej-ID4xLhr,"4-pokojowe, taras, klimatyzacja, blisko Galerii Krakowskiej",6700,"ul. Rakowicka, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",ul. Rakowicka,Grzegórzki,50.0771319,19.9591349,success,strict,structured_Rakowicka
ID4xLph,https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-ciche-kolo-uek-i-politechniki-ID4xLph,"2-pokoje z ogródkiem, ciche, koło UEK i Politechniki",3200,"ul. Rakowicka, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",ul. Rakowicka,Grzegórzki,50.0771319,19.9591349,success,strict,structured_Rakowicka
ID41QZk,https://www.otodom.pl/pl/oferta/wynajme-pokoj-po-remoncie-radzikowskiego-ID41QZk,Wynajmę Pokój Po Remoncie Radzikowskiego,1000,"ul. Eljasza Walerego Radzikowskiego, Azory, Prądnik Biały, Kraków, małopolskie",ul. Eljasza Walerego Radzikowskiego,Prądnik Biały,50.0842386,19.9008258,success,strict,structured_Radzikowskiego
ID4xxXJ,https://www.otodom.pl/pl/oferta/2-pokoje-46-m2-exclusive-wings-plaza-debniki-ID4xxXJ,2 pokoje 46 m2 Exclusive Wings Plaza Dębniki,5000,"ul. Karola Bunscha, Kobierzyn, Dębniki, Kraków, małopolskie",ul. Karola Bunscha,Dębniki,50.0088483,19.8815969,success,strict,structured_Karola Bunscha
ID4xy3o,https://www.otodom.pl/pl/oferta/2-pokoje-48-m2-exclusive-wings-plaza-debniki-ID4xy3o,2 pokoje 48 m2 Exclusive Wings Plaza Dębniki,5100,"ul. Karola Bunscha, Kobierzyn, Dębniki, Kraków, małopolskie",ul. Karola Bunscha,Dębniki,50.0088483,19.8815969,success,strict,structured_Karola Bunscha
ID4xy0S,https://www.otodom.pl/pl/oferta/2-pokoje-49-m2-exclusive-wings-plaza-debniki-ID4xy0S,2 pokoje 49 m2 Exclusive Wings Plaza Dębniki,5200,"ul. Karola Bunscha, Kobierzyn, Dębniki, Kraków, małopolskie",ul. Karola Bunscha,Dębniki,50.0088483,19.8815969,success,strict,structured_Karola Bunscha
